X;workerid;proliferate.condition;samediff_mirrornorm;samediff;categories;failed_audio;failed_images;failed_video;internal_node_id;response;rt;sequence_id;same_mirror_normal;stimulus;success;time_elapsed;timeout;trial_index;trial_type;view_history;error;language
11606;23;condition1;S_M;S;O;;;;0.0-6.0-3.65;s;433;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11607;23;condition1;_;;;;;;0.0-6.0-0.66;;NA;0;;img2/false/13.jpg;NA;118646;NA;276;image-keyboard-response;;NA;french
11608;23;condition1;_;;;;;;0.0-6.0-1.66;;NA;1;;+;NA;118951;NA;277;html-keyboard-response;;NA;french
11609;23;condition1;_;;;;;;0.0-6.0-2.66;;NA;2;;img2/Mfalse/13.jpg;NA;119160;NA;278;image-keyboard-response;;NA;french
11610;23;condition1;S_M;S;M;;;;0.0-6.0-3.66;s;673;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11611;23;condition1;_;;;;;;0.0-6.0-0.67;;NA;0;;img2/jap/5.jpg;NA;120040;NA;280;image-keyboard-response;;NA;french
11612;23;condition1;_;;;;;;0.0-6.0-1.67;;NA;1;;+;NA;120343;NA;281;html-keyboard-response;;NA;french
11613;23;condition1;_;;;;;;0.0-6.0-2.67;;NA;2;;img2/Mjap/5.jpg;NA;120551;NA;282;image-keyboard-response;;NA;french
11614;23;condition1;S_M;S;J;;;;0.0-6.0-3.67;s;402;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11615;23;condition1;_;;;;;;0.0-6.0-0.68;;NA;0;;img2/Mtools/12.jpg;NA;121159;NA;284;image-keyboard-response;;NA;french
11616;23;condition1;_;;;;;;0.0-6.0-1.68;;NA;1;;+;NA;121463;NA;285;html-keyboard-response;;NA;french
11617;23;condition1;_;;;;;;0.0-6.0-2.68;;NA;2;;img2/Mtools/10.jpg;NA;121672;NA;286;image-keyboard-response;;NA;french
11618;23;condition1;D_M;D;O;;;;0.0-6.0-3.68;d;521;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11619;23;condition1;_;;;;;;0.0-6.0-0.69;;NA;0;;img2/french/4.jpg;NA;122400;NA;288;image-keyboard-response;;NA;french
11620;23;condition1;_;;;;;;0.0-6.0-1.69;;NA;1;;+;NA;122705;NA;289;html-keyboard-response;;NA;french
11621;23;condition1;_;;;;;;0.0-6.0-2.69;;NA;2;;img2/french/12.jpg;NA;122912;NA;290;image-keyboard-response;;NA;french
11622;23;condition1;D_T;D;R;;;;0.0-6.0-3.69;d;361;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11623;23;condition1;_;;;;;;0.0-6.0-0.70;;NA;0;;img2/french/8.jpg;NA;123479;NA;292;image-keyboard-response;;NA;french
11624;23;condition1;_;;;;;;0.0-6.0-1.70;;NA;1;;+;NA;123783;NA;293;html-keyboard-response;;NA;french
11625;23;condition1;_;;;;;;0.0-6.0-2.70;;NA;2;;img2/Mfrench/8.jpg;NA;123991;NA;294;image-keyboard-response;;NA;french
11626;23;condition1;S_M;S;R;;;;0.0-6.0-3.70;s;554;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11627;23;condition1;_;;;;;;0.0-6.0-0.71;;NA;0;;img2/faces/9.jpg;NA;124752;NA;296;image-keyboard-response;;NA;french
11628;23;condition1;_;;;;;;0.0-6.0-1.71;;NA;1;;+;NA;125057;NA;297;html-keyboard-response;;NA;french
11629;23;condition1;_;;;;;;0.0-6.0-2.71;;NA;2;;img2/Mfaces/9.jpg;NA;125265;NA;298;image-keyboard-response;;NA;french
11630;23;condition1;S_M;S;H;;;;0.0-6.0-3.71;s;617;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11631;23;condition1;_;;;;;;0.0-6.0-0.72;;NA;0;;img2/french/3.jpg;NA;126089;NA;300;image-keyboard-response;;NA;french
